architecture,config,backend,mean_ms,std_ms,samples,warmup,crop_size,device,json
edge_cpu,/home/intern/proxylessnas/search/edge_cpu.config,pytorch_cpu,101.4471983909607,16.964806160432946,100,10,192,cpu,/home/intern/proxylessnas/search/edge_latency/edge_cpu/pytorch_cpu_threads32_crop192_100samples_warm10.json
edge_cpu,/home/intern/proxylessnas/search/edge_cpu.config,pytorch_gpu,7.265279293060303,0.3579215418243967,400,100,256,cuda:0,/home/intern/proxylessnas/search/edge_latency/edge_cpu/pytorch_gpu_cuda0_crop256_400samples_sync_cudnnbench_warm100.json
edge_cpu,/home/intern/proxylessnas/search/edge_cpu.config,onnx_cpu,90.68715632893145,26.564919650143985,400,100,256,cpu,/home/intern/proxylessnas/search/edge_latency/edge_cpu/onnx_trt_latency/onnx_trt_latency_crop256_400samples.json
edge_cpu,/home/intern/proxylessnas/search/edge_cpu.config,onnx_cuda,2.2662278451025486,0.05994559630793082,400,100,256,cuda:0,/home/intern/proxylessnas/search/edge_latency/edge_cpu/onnx_trt_latency/onnx_trt_latency_crop256_400samples.json
edge_cpu,/home/intern/proxylessnas/search/edge_cpu.config,tensorrt_fp32,1.0719138663262129,0.05401652844526212,400,100,256,cuda:0,/home/intern/proxylessnas/search/edge_latency/edge_cpu/onnx_trt_latency/onnx_trt_latency_crop256_400samples.json
edge_cpu,/home/intern/proxylessnas/search/edge_cpu.config,tensorrt_fp16,0.7879463955760002,0.06373225895748617,400,100,256,cuda:0,/home/intern/proxylessnas/search/edge_latency/edge_cpu/onnx_trt_latency/onnx_trt_latency_crop256_400samples.json
edge_gpu,/home/intern/proxylessnas/search/edge_gpu.config,pytorch_cpu,174.27347660064697,23.10097131248361,100,10,192,cpu,/home/intern/proxylessnas/search/edge_latency/edge_gpu/pytorch_cpu_threads32_crop192_100samples_warm10.json
edge_gpu,/home/intern/proxylessnas/search/edge_gpu.config,pytorch_gpu,6.676201224327087,0.28969190140995416,400,100,256,cuda:0,/home/intern/proxylessnas/search/edge_latency/edge_gpu/pytorch_gpu_cuda0_crop256_400samples_sync_cudnnbench_warm100.json
edge_gpu,/home/intern/proxylessnas/search/edge_gpu.config,onnx_cpu,150.08814837783575,43.96372951836285,400,100,256,cpu,/home/intern/proxylessnas/search/edge_latency/edge_gpu/onnx_trt_latency/onnx_trt_latency_crop256_400samples.json
edge_gpu,/home/intern/proxylessnas/search/edge_gpu.config,onnx_cuda,2.4757014214992523,0.2896128370695943,400,100,256,cuda:0,/home/intern/proxylessnas/search/edge_latency/edge_gpu/onnx_trt_latency/onnx_trt_latency_crop256_400samples.json
edge_gpu,/home/intern/proxylessnas/search/edge_gpu.config,tensorrt_fp32,1.5284204948693514,0.019230269073280744,400,100,256,cuda:0,/home/intern/proxylessnas/search/edge_latency/edge_gpu/onnx_trt_latency/onnx_trt_latency_crop256_400samples.json
edge_gpu,/home/intern/proxylessnas/search/edge_gpu.config,tensorrt_fp16,1.068728007376194,0.014874896237681835,400,100,256,cuda:0,/home/intern/proxylessnas/search/edge_latency/edge_gpu/onnx_trt_latency/onnx_trt_latency_crop256_400samples.json
flpos,/home/intern/proxylessnas/search/logs/flpos.config,pytorch_cpu,210.60711145401,7.278072904873189,100,10,192,cpu,/home/intern/proxylessnas/search/edge_latency/flpos/pytorch_cpu_threads32_crop192_100samples_warm10.json
flpos,/home/intern/proxylessnas/search/logs/flpos.config,pytorch_gpu,7.0332324504852295,0.13207085980120928,400,100,256,cuda:0,/home/intern/proxylessnas/search/edge_latency/flpos/pytorch_gpu_cuda0_crop256_400samples_sync_cudnnbench_warm100.json
flpos,/home/intern/proxylessnas/search/logs/flpos.config,onnx_cpu,149.4144866336137,34.16050042193294,400,100,256,cpu,/home/intern/proxylessnas/search/edge_latency/flpos/onnx_trt_latency/onnx_trt_latency_crop256_400samples.json
flpos,/home/intern/proxylessnas/search/logs/flpos.config,onnx_cuda,4.497555932030082,0.01750701012832355,400,100,256,cuda:0,/home/intern/proxylessnas/search/edge_latency/flpos/onnx_trt_latency/onnx_trt_latency_crop256_400samples.json
flpos,/home/intern/proxylessnas/search/logs/flpos.config,tensorrt_fp32,1.8854920472949743,0.06838024591808323,400,100,256,cuda:0,/home/intern/proxylessnas/search/edge_latency/flpos/onnx_trt_latency/onnx_trt_latency_crop256_400samples.json
flpos,/home/intern/proxylessnas/search/logs/flpos.config,tensorrt_fp16,1.0437868256121874,0.020261320880171862,400,100,256,cuda:0,/home/intern/proxylessnas/search/edge_latency/flpos/onnx_trt_latency/onnx_trt_latency_crop256_400samples.json
