candidate_group,candidate_count,target_hardware,run_name,run_dir,gpu,gpu_count,warmup_epochs,search_epochs,search_iou,iou_records,train_wall_hours,train_epoch_records,search_gpu_hours,has_valid_log,has_train_log,is_ablation
whole_all,18,gpu,"0,1,3,4_NUAA-SIRST_Super_all_whole_all_14_05_2026_10_20_19","/home/intern/proxylessnas/search/logs/0,1,3,4_NUAA-SIRST_Super_all_whole_all_14_05_2026_10_20_19","0,1,3,4",4,300,1500,0.001000,3,0.093918,4,0.375671,True,True,False
Res_Group_Spa_MBConv,12,gpu,"0,1_NUAA-SIRST_Super_all_Res_Group_Spa_MBConv_27_10_2023_10_47_00","/home/intern/proxylessnas/search/logs/0,1_NUAA-SIRST_Super_all_Res_Group_Spa_MBConv_27_10_2023_10_47_00","0,1",2,300,1500,0.660000,1800,2.165894,1800,4.331788,True,True,False
whole_all,18,gpu,"0,1_NUAA-SIRST_Super_all_whole_all_08_04_2026_23_36_48","/home/intern/proxylessnas/search/logs/0,1_NUAA-SIRST_Super_all_whole_all_08_04_2026_23_36_48","0,1",2,100,100,0.212000,200,1.075086,200,2.150171,True,True,False
whole_all,18,gpu,"0,1_NUAA-SIRST_Super_all_whole_all_10_04_2026_01_42_51","/home/intern/proxylessnas/search/logs/0,1_NUAA-SIRST_Super_all_whole_all_10_04_2026_01_42_51","0,1",2,100,1500,0.647000,1600,9.504199,1600,19.008398,True,True,False
whole_all,18,gpu,"0,1_NUAA-SIRST_Super_all_whole_all_27_04_2026_00_04_38","/home/intern/proxylessnas/search/logs/0,1_NUAA-SIRST_Super_all_whole_all_27_04_2026_00_04_38","0,1",2,100,1500,0.654000,1600,8.951742,1600,17.903484,True,True,False
whole_all,18,flops,1_NUAA-SIRST_Super_all_whole_all_16_04_2026_21_01_23,/home/intern/proxylessnas/search/logs/1_NUAA-SIRST_Super_all_whole_all_16_04_2026_21_01_23,1,1,100,1500,0.006000,40,0.049270,41,0.049270,True,True,False
whole_all,18,cpu,"2,3_NUAA-SIRST_Super_all_whole_all_16_04_2026_21_01_41","/home/intern/proxylessnas/search/logs/2,3_NUAA-SIRST_Super_all_whole_all_16_04_2026_21_01_41","2,3",2,100,1500,0.001000,1,0.015542,2,0.031084,True,True,False
whole_all,18,cpu,"2,3_NUAA-SIRST_Super_all_whole_all_16_04_2026_21_03_02","/home/intern/proxylessnas/search/logs/2,3_NUAA-SIRST_Super_all_whole_all_16_04_2026_21_03_02","2,3",2,100,1500,0.673000,1600,7.631209,1600,15.262419,True,True,False
whole_all,18,gpu,"4,5,6,7_NUAA-SIRST_Super_all_whole_all_02_05_2026_00_15_03","/home/intern/proxylessnas/search/logs/4,5,6,7_NUAA-SIRST_Super_all_whole_all_02_05_2026_00_15_03","4,5,6,7",4,300,1500,0.644000,1800,7.473259,1800,29.893038,True,True,False
whole_all,18,gpu,"4,5,6,7_NUAA-SIRST_Super_all_whole_all_14_05_2026_00_53_41","/home/intern/proxylessnas/search/logs/4,5,6,7_NUAA-SIRST_Super_all_whole_all_14_05_2026_00_53_41","4,5,6,7",4,300,1500,0.228000,377,6.485249,378,25.940994,True,True,False
whole_all,18,gpu,"5,6_NUAA-SIRST_Super_all_whole_all_29_04_2026_15_48_01","/home/intern/proxylessnas/search/logs/5,6_NUAA-SIRST_Super_all_whole_all_29_04_2026_15_48_01","5,6",2,100,1500,0.135000,176,0.889352,177,1.778703,True,True,False
whole_all,18,gpu,"5,6_NUAA-SIRST_Super_all_whole_all_29_04_2026_17_07_28","/home/intern/proxylessnas/search/logs/5,6_NUAA-SIRST_Super_all_whole_all_29_04_2026_17_07_28","5,6",2,100,1500,0.599000,1600,6.805117,1600,13.610234,True,True,False
whole_all,18,gpu,"5,6_NUAA-SIRST_Super_all_whole_all_30_04_2026_22_50_16","/home/intern/proxylessnas/search/logs/5,6_NUAA-SIRST_Super_all_whole_all_30_04_2026_22_50_16","5,6",2,100,1500,0.545000,1600,8.325460,1600,16.650920,True,True,False
whole,12,gpu,5_NUAA-SIRST_Super_all_whole_25_03_2026_01_39_58,/home/intern/proxylessnas/search/logs/5_NUAA-SIRST_Super_all_whole_25_03_2026_01_39_58,5,1,0,0,,0,,0,,False,False,False
whole_all,18,gpu,"6,7_NUAA-SIRST_Super_all_whole_all_01_05_2026_23_49_01","/home/intern/proxylessnas/search/logs/6,7_NUAA-SIRST_Super_all_whole_all_01_05_2026_23_49_01","6,7",2,300,1500,0.003000,30,0.121164,31,0.242327,True,True,False
